ABC19980108.1830.0711_20|Nobody believe this any more .
ABC19980108.1830.0711_6|And in Hong Kong , a three percent drop .
ABC19980108.1830.0711_1|The financial assistance from the World Bank and the International Monetary Fund are not helping .
ABC19980108.1830.0711_0|On the other hand , it 's turning out to be another very bad financial week for Asia .
ABC19980108.1830.0711_3|The Indonesian currency has lost twenty six percent of its value .
ABC19980108.1830.0711_2|In the last twenty four hours , the value of the Indonesian stock market has fallen by twelve percent .
wsj_0171_8|The thrift has assets of $3.2 billion .
wsj_0171_5|The thrift said that ' after these charges and assuming no dramatic fluctuation in interest rates , the association expects to achieve near record earnings in 1990 . '
wsj_0171_4|Valley Federal also added $18 million to realestate loan reserves and eliminated $9.9 million of good will .
wsj_0171_7|New loans continue to slow ; they were $6.6 million in the quarter compared with $361.8 million a year ago .
wsj_0171_6|Valley Federal is currently being examined by regulators .
wsj_0171_1|The Van Nuys , Calif. , thrift had net income of $132,000 , or three cents a share , a year ago .
wsj_0171_0|Valley Federal Savings amp Loan Association took an $89.9 million charge as it reported a third-quarter loss of $70.7 million , or $12.09 a share .
wsj_0171_3|The company said the one-time provision would substantially eliminate all future losses at the unit .
wsj_0171_2|The bulk of the pretax charge is a $62 million write-off of capitalized servicing at the mobile home financing subsidiary , which the company said had been a big drain on earnings .
APW19980213.1320_4|In a joint statement with Tourism Minister Andrew Thomson , it said two new flights would leave Bombay on Monday and Tuesday nights from March 30 , with the third departing each Thursday from August 6 . This will add nearly 700 seats a week on the route .
APW19980213.1320_5|Thomson , in India to talk to tourism leaders , said the flights would provide extra support to the growing tourism market .
APW19980213.1320_6|Qantas ' India manager Khursheed Lam said the airline was working closely with the Australian Tourist Commission to develop greater awareness of Australia in the Indian market .
APW19980213.1320_7|Qantas will also appoint a Bombay-based public relations consultant .
APW19980213.1320_0|CANBERRA , Australia ( AP ) _ Qantas will almost double its flights between Australia and India by August in the search for new markets untouched by the crippling Asian financial crisis .
APW19980213.1320_1|This move comes barely a month after Qantas suspended a number of services between Australia , Indonesia , Thailand and Malaysia in the wake of the Asian economic crisis .
APW19980213.1320_2|The airline has also cut all flights to South Korea .
APW19980213.1320_3|Qantas plans daily flights between Sydney and Bombay , up from the current four flights a week , to boost business and tourism ties with India , the airline announced Friday .
wsj_0189_8|Ralston attributed its fourth-quarter slump partly to higher costs of ingredients in the pet food business as well as competitive pressures , which required higher advertising spending .
wsj_0189_9|For the year , pet food volume was flat , the company said .
wsj_0637_4|The shares are redeemable after the end of 1994 .
wsj_0189_5|Sales for the full year were $6.6 billion , up 13% from $5.8 billion .
wsj_0189_6|Ralston said its restructuring costs include the phase-out of a battery facility in Greenville , N.C. , the recent closing of a Hostess cake bakery in Cincinnati and a reduction in staff throughout the company .
wsj_0189_7|The battery plant , which makes rechargeable nickel cadmium and carbon zinc products , will be closed over the next year or so , a spokesman said .
wsj_0189_0|Ralston Purina Co. reported a 47% decline in fourth-quarter earnings , reflecting restructuring costs as well as a more difficult pet food market .
wsj_0189_1|The St. Louis company earned $45.2 million , or 65 cents a share , compared with $84.9 million , or $1.24 a share , a year earlier .
wsj_0189_2|Sales in the latest period were $1.76 billion , a 13% increase from last year 's $1.55 billion .
wsj_0189_3|For the year ended Sept. 30 , Ralston earned $422.5 million , or $6.44 a share , up 8.9% from $387.8 million , or $5.63 a share .
wsj_0661_5|In a filing with the Securities and Exchange Commission , DPC Acquisition said it expects it will need about $215 million to buy the shares and pay related fees and expenses .
wsj_0610_37|Although he called current market conditions ' highly competitive , ' Mr. LaMothe , Kellogg 's chairman and chief executive officer , forecast an earnings increase for the full year .
wsj_0610_36|Until recently , Kellogg had been telling its sales force and Wall Street that by 1992 it intended to achieve a 50% share of market , measured in dollar volume .
wsj_0610_35|Last Friday 's announcement was the first official word that the project was in trouble and that the company 's plans for a surge in market share may have been overly optimistic .
wsj_0610_34|Fluor Daniel already has reassigned most of its work crew , the sources said .
wsj_0610_33|Subcontractors said they were told that equipment orders would be delayed .
wsj_0263_7|Sales rose to $52.4 million from $50.1 million .
wsj_0263_6|A year earlier UniFirst earned $2.4 million , or 24 cents a share adjusted for the split .
wsj_0263_5|Separately , UniFirst reported that net income rose 21% to $3 million , or 29 cents a share adjusted for the split , for the fourth quarter ended Aug. 26 .
wsj_0263_4|The split will raise the number of shares outstanding to about 10.2 million .
wsj_0263_3|The split and quarterly dividend will be payable Jan. 3 to stock of record Nov. 16 , the company said .
wsj_0263_2|The dividend had been five cents a share .
wsj_0263_1|The Wilmington , Mass. , garment service company also boosted its quarterly dividend 20% to three cents a share adjusted for the split .
wsj_0263_0|UNIFIRST Corp. declared a 2-for-1 stock split .
wsj_0610_30|The new facility was to have been the world 's most advanced cereal manufacturing plant , and Kellogg 's largest construction project .
wsj_0745_28|In the end , Sir John -- rather than the government or Jaguar shareholders -- may hold the key that unlocks the golden share .
wsj_0745_21|In wooing British lawmakers , GM has pointed out that its willingness to settle for a minority stake would keep Jaguar British-owned and independent .
wsj_0745_20|It has relinquished a golden share only once before -- during British Petroleum Co. 's #2.5 billion ( $4 billion ) takeover of Britoil PLC in 1988 .
wsj_0745_23|While the visit was unrelated to Jaguar , GM Chairman Roger Smith answered the legislators ' questions about it over lunch Tuesday .
wsj_0745_22|This week , the U.S. auto giant paid for 10 House of Commons members and two House of Lords members to fly to Detroit and tour its operations there .
wsj_0745_25|Politics also influences the government 's thinking on the anti-takeover restriction .
wsj_0745_24|He said Jaguar ' should n 't be smothered by anyone else , ' recalled one participant .
wsj_0745_27|Prime Minister Margaret Thatcher might , however , be receptive to any request by Jaguar Chairman Sir John Egan for the restriction 's early removal to let GM amass more than 15% or mount a friendly suitor bid against Ford .
wsj_0745_26|The Conservatives do n 't dare jeopardize marginal Tory seats in Coventry , where Jaguar has headquarters , nor can the government easily back down on promised protection for a privatized company while it proceeds with controversial plans to privatize most of Britain 's water and electricity industries .
wsj_0584_24|McCaw 's bid also has a similar clause .
wsj_0584_25|Only McCaw 's proposal requires the company to begin an auction process in June 1994 for remaining shares at third-party prices .
wsj_0584_26|To mollify shareholders concerned about the long-term value of the company under the BellSouth-LIN agreement , BellSouth also agreed to pay as much as $10 a share , or $540 million , if , after five years , the trading value of the new cellular company isn 't as high as the value that shareholders would have realized from the McCaw offer .
wsj_0584_27|' We 're very pleased with the new deal .
wsj_0584_20|But I do n 't think we 're at that point yet . '
wsj_0584_21|Under its revised proposal , Atlanta-based BellSouth would have a 50% interest in the new cellular company and would be responsible for half of its debt .
wsj_0584_22|To sweeten the pact further -- and to ease concerns of institutional investors -- BellSouth added a provision designed to give extra protection to holders if the regional Bell company ever decides to buy the rest of the new cellular company .
wsj_0584_23|The provision , described as ' back-end ' protection , would require BellSouth to pay a price equivalent to what an outside party might have to pay .
wsj_0584_28|We did n 't expect BellSouth to be so responsive , ' said Frederick A. Moran , president of Moran Asset Management Inc. , which holds 500,000 LIN shares .
wsj_0584_29|BellSouth 's ' back-end protection was flawed previously .
wsj_0674_7|' I 'm happy that he feels positively about our company , ' he said .
wsj_0674_6|Martin Fabi , Innopac 's president and chief executive , said Innopac viewed Mr. Pattison 's decision to seek control as a ' very positive ' move .
wsj_0674_5|Revenue was C$291.6 million , up from C$252 million in 1988 .
wsj_0674_4|The results made net income for the year ended Aug. 31 C$2.7 million , or 20 Canadian cents a share , down from C$9.7 million , or 70 Canadian cents a share last year .
wsj_0674_3|Separately , Innopac reported a fourth-quarter loss of about C$2.6 million , or 18 Canadian cents a share , reflecting inventory write-downs .
wsj_0674_2|The company said it currently holds about 4.2 million of Innopac 's 13.8 million common shares outstanding , which have an aggregate market value of about 137.8 million Canadian dollars ( US$117.3 million ) .
wsj_0674_1|Jim Pattison Industries , a holding company with annual sales of about C$1.9 billion , largely from car dealerships and grocery stores , did n 't elaborate on the statement , and a company official declined further comment .
wsj_0674_0|Jim Pattison Industries Ltd. , one of a group of closely held companies owned by entrepreneur James Pattison , said it ' intends to seek control ' of 30%-owned Innopac Inc. , a Toronto packaging concern .
wsj_0674_9|Among other things , Innopac is involved in recycling polystyrene foam products that are often used by fast food chains , such as McDonald 's Corp. , for food packaging .
wsj_0674_8|Mr. Fabi wouldn 't say directly whether Mr. Pattison has disclosed potential terms for his planned bid for control .
wsj_0661_1|DPC Acquisition is controlled by Crescott Investment Associates , Wilson Investment Group , Kernel Corp. and Catalyst Partners .
CNN19980126.1600.1104_8|I think it 's a good thing that they ' re finally going to be downsizing you know some management because there is a whole lot of waste .
CNN19980126.1600.1104_9|Good news for AT and T today .
wsj_0670_1|The company said it has agreed to sell the extrusion division for $15 million to R.D. Werner Co. , a closely held firm based in Greenville , Pa. The charge is offset by an after-tax gain of about $30 million in the quarter from the previously announced pact to sell National Aluminum 's rolling division .
wsj_0670_0|National Intergroup Inc. said it expects to report a charge of $5.3 million related to the sale of its aluminum unit 's extrusion division for the third quarter .
wsj_0670_7|In fiscal 1989 , it had sales of about $40 million and an operating loss of $1.5 million .
wsj_0670_6|The extrusion unit produces bare and painted custom extrusions for building products and construction industries .
wsj_0670_5|The agreement also provides for potential payments of additional proceeds to National Aluminum over the next two years , depending on the plant 's shipping levels .
wsj_0558_7|In the latest quarter , Aetna had a $23 million loss on its auto/homeowners line , compared with earnings of $33 million last year .
CNN19980126.1600.1104_0|Major job cuts at AT and T. The long distance giant slashing up to eighteen thousand jobs , freezing executive salaries and shaking up management .
CNN19980126.1600.1104_1|The changes are part of a one point six billion dollar cost cutting initiative to revitalize its position in the telecommunications business .
CNN19980126.1600.1104_2|Earlier AT and T also announced an eighteen percent drop in profits for the fourth quarter .
CNN19980126.1600.1104_3|The company 's sales force applauded the shake up .
CNN19980126.1600.1104_4|It 's not something we 're not used to in the industry .
CNN19980126.1600.1104_5|But I think right now , for AT and T and the people here , it 's fairly intense as you might w- well imagine .
CNN19980126.1600.1104_6|I mean look at the stock .
CNN19980126.1600.1104_7|You know , since he 's been here the stock skyrocketed so , Yeah I think he 's doing the right thing .
NYT19980206.0460_35|Among high school graduates , the rate was 3.9 percent , and college graduates , 1.9 percent .
NYT19980206.0460_34|Among people with less than a high school education , the rate in January was 7.2 percent .
NYT19980206.0460_31|The rate for adult women rose 0.4 percent , to 4.4 percent .
NYT19980206.0460_30|` ` Those fumes will exhaust themselves , and the manufacturing sector is going to start getting beat up in the spring . ' ' The figures showed the unemployment rate for adult men declined to 3.8 percent last month from 4.1 percent in December , the lowest figure for almost two decades .
NYT19980206.0460_33|The analysis showed unemployment rates dropped steadily with higher levels of education .
NYT19980206.0460_32|For the first time , the Labor Department broke out unemployment by education level as well as gender , age and race .
wsj_0661_0|A unit of DPC Acquisition Partners launched a $10-a-share tender offer for the shares outstanding of Dataproducts Corp. , and said it would seek to liquidate the computer-printer maker ' as soon as possible , ' even if a merger is n 't consummated .
VOA19980305.1800.2603_1|A major focus of International Women 's Day is the plight of Afghan women .
VOA19980305.1800.2603_0|International Women 's Day is this coming Sunday , March eighth .
wsj_0661_3|The offer is based on several conditions , including obtaining financing .
wsj_0568_31|And Unisys is expected to do little better than break even in the fourth quarter .
wsj_0568_30|But the company said Friday that it had losses of $673.3 million through the first nine months , compared with earnings a year earlier of $382.2 million , or $2.22 a share fully diluted , as revenue inched up 1.4% to $7.13 billion from $7.03 billion .
wsj_0568_33|' I was feeling like I was too high to begin with , ' he said .
wsj_0568_32|So Steve Milunovich at First Boston said he is cutting his earnings estimate for next year to $2 a share from $3 .
wsj_0568_35|' The break-even point for next year is much lower , but is it low enough ? '
wsj_0568_34|Mr. Weil of Weil amp Associates said he will remain at $1 a share for next year but said he wonders whether even that low target is at risk .
wsj_0568_37|Reflecting the concern , Unisys stock fell a further 75 cents to $16.25 in composite trading Friday on the New York Stock Exchange .
wsj_0568_36|he asked .
VOA19980305.1800.2603_5|The United Nations says women and children make up about seventy-five percent of the Afghan population .
VOA19980305.1800.2603_4|Afghanistan has been at war for twenty years , leaving a large part of the country 's male population dead or in exile .
wsj_0778_23|According to department policy , prosecutors must make a strong showing that lawyers ' fees came from assets tainted by illegal profits before any attempts at seizure are made .
wsj_0661_2|The investor group owns 1,534,600 Dataproducts common shares , or a 7.6% stake .
wsj_0778_22|The Justice Department has emphasized that the government 's fee-forfeiture power is to be used sparingly .
wsj_0584_36|' There 's nothing preventing BellSouth from buying up shares in the meanwhile . '
wsj_0679_2|Hewlett-Packard , a Palo Alto , Calif. , computer company , said it acquired the stock ' to develop and maintain a strategic partnership in which each company remains independent while working together to market and sell their products . '
wsj_0679_3|Octel said the purchase was expected .
wsj_0679_0|Hewlett-Packard Co. said it raised its stake in Octel Communications Corp. to 8.5% of the common shares outstanding .
wsj_0679_1|In a Securities and Exchange Commission filing , Hewlett-Packard said it now holds 1,384,119 Octel common shares , including 100,000 shares bought from Aug. 26 to Oct. 20 for $23.31 to $24.25 a share .
wsj_0679_6|That accord also called for Hewlett-Packard to buy 730,070 Octel shares in the open market within 18 months .
wsj_0679_7|In addition , Hewlett-Packard acquired a two-year option to buy an extra 10% , of which half may be sold directly to Hewlett-Packard by Octel .
wsj_0679_4|Hewlett-Packard affirmed it does n 't plan to obtain control of Octel , a Milpitas , Calif. , maker of voice-processing systems .
wsj_0679_5|According to the filing , Hewlett-Packard acquired 730,070 common shares from Octel as a result of an Aug. 10 , 1988 , stock purchase agreement .
VOA19980305.1800.2603_24|Lisa Schlein for VOA News , Geneva .
VOA19980305.1800.2603_20|These are only the symptoms of the problems that are facing Afghanistan .
VOA19980305.1800.2603_21|For women in Afghanistan to be able to realize their rights , there have to be conditions of peace and justice .
VOA19980305.1800.2603_22|Ms. Atimadi says that is the primary focus of her group , peace and justice .
VOA19980305.1800.2603_23|She says her group is appealing to individuals , to the international community , and to the combatants and people of Afghanistan to stop the bloodletting which has torn the country apart .
wsj_0637_5|Mr. Vaux said the share issue is part of a strategy to strengthen Labatt 's balance sheet in anticipation of acquisitions to be made during the next 12 to 18 months .
wsj_0184_1|Upjohn officials said they could n 't estimate the size of the charge until they determine which employees , and how many , will participate in the retirement plan .
wsj_0184_0|Upjohn Co. said it will offer an early retirement package to as many as 1,100 employees in a cost-cutting move expected to result in a fourth-quarter charge .
wsj_0184_3|The program , available to Upjohn employees 55 years old or older , could increase an individual 's retirement benefits 10% to 20% .
wsj_0184_2|But the pharmaceutical company said it ' anticipates the long-term savings resulting from the plan 's implementation will more than offset short-term costs . '
wsj_0184_5|Chairman Theodore Cooper called the program part of the company 's two-year strategy to implement budget constraints and ' an effective headcount-control program . '
wsj_0184_4|In addition , Upjohn is offering a one-time retirement bonus equal to six months of base pay .
wsj_0184_7|' It 's a cosmetic move , ' said Jonathan S. Gelles of Wertheim Schroder amp Co. According to Upjohn 's estimates , only 50% to 60% of the 1,100 eligible employees will take advantage of the plan .
wsj_0184_6|But some analysts questioned how much of an impact the retirement package will have , because few jobs will end up being eliminated .
wsj_0184_9|As a result , Upjohn will likely trim only about 275 to 350 of its more than 21,000 jobs world-wide .
wsj_0184_8|Upjohn further estimated that about 50% of the employees who leave for early retirement may be replaced .
wsj_0570_0|Crane Co. said it holds an 8.9% stake in Milton Roy Corp. , an analytical-instruments maker , and may seek control of the company .
wsj_0570_1|Crane , a maker of engineered products for aerospace , construction , defense and other uses , made the disclosure in a Securities and Exchange Commission filing .
wsj_0570_2|In the filing , Crane said that in the past it considered seeking control of Milton Roy , of St. Petersburg , Fla. , through a merger or tender offer and that it expects to continue to evaluate an acquisition from time to time .
wsj_0570_3|Crane officials did n 't return phone calls seeking comment .
wsj_0570_4|Crane holds 504,200 Milton Roy shares , including 254,200 bought from Sept. 14 to Thursday for $15.50 to $16.75 each .
wsj_0570_5|In New York Stock Exchange composite trading Friday , Milton Roy shares leaped $2 , to $18.375 each , while Crane sank $1.125 , to $21.125 a share .
wsj_0570_6|John M. McNamara , chief financial officer of Milton Roy , said the company has no comment on Crane 's filing .
wsj_0570_7|Milton Roy recently fended off unsolicited overtures from Thermo Electron Corp. , a Waltham , Mass. , maker of biomedical products .
wsj_0570_8|Milton Roy disclosed in May that it was approached for a possible acquisition by Thermo Electron , which agreed to purchase Milton Roy 's liquid-chromatography line for $22 million in February .
wsj_0570_9|Thermo Electron acquired some 6% of Milton Roy 's common stock before throwing in the towel and reducing its stake in early September .
ea980120.1830.0071_5|Well , this is the eve of the Pope 's visit to one of the last bastions of Communism anywhere in the world , and it is already causing enormous expectations .
wsj_0316_4|Deseret , with about $100 million in assets , is the parent of the Deseret Bank , which has six offices and headquarters at Pleasant Grove , Utah .
wsj_0316_5|The purchase price is equal to about 1.65 times Deseret 's roughly $10.7 million book value , or assets less liabilities .
wsj_1003_17|He noted , however , that the company 's order entry has increased from the low levels of the early summer , following the end of labor negotiations .
wsj_0533_3|Merieux previously said it would ensure its bid remained open pending a final decision by Canadian regulators on whether to approve the takeover .
wsj_0533_2|It had been due to expire Friday evening .
wsj_0533_1|Institut Merieux S.A. , which offered 942 million Canadian dollars ( US$801.2 million ) , or C$37 a share for Connaught , said it would extend its bid , due to expire last Thursday , to Nov. 6 . A C$30-a-share bid by Ciba-Geigy Ltd. , a pharmaceutical company based in Basel , Switzerland , and California-based Chiron Corp. , a bioresearch concern , was extended to Nov. 16 .
wsj_0533_0|Two rival bidders for Connaught BioSciences extended their offers to acquire the Toronto-based vaccine manufacturer Friday .
wsj_0533_7|Institut Merieux , which already holds a 12.5% stake in Connaught , said that at the close of business Thursday , 5,745,188 shares of Connaught and C$44.3 million face amount of debentures , convertible into 1,826,596 common shares , had been tendered to its offer .
wsj_0533_6|Both offers are conditional on regulatory approvals and enough shares being tendered to give the bidders a majority of Connaught 's shares outstanding .
wsj_0904_5|Sales rose 50% to $2.1 billion from $1.4 billion .
wsj_0533_4|Merieux , a vaccine and bioresearch firm based in Lyon , France , is controlled 50.1% by state-owned Rhone Poulenc S.A. The Canadian government previously said Merieux 's bid did n 't offer enough ' net benefit ' to Canada to be approved , and gave Merieux an until mid-November to submit additional information .
wsj_0533_9|At last report , Connaught had 21.8 million shares outstanding .
wsj_0533_8|At the close of business Thursday , Ciba-Geigy and Chiron said 11,580 common shares had been tendered to their offer .
wsj_0006_0|Pacific First Financial Corp. said shareholders approved its acquisition by Royal Trustco Ltd. of Toronto for $27 a share , or $212 million .
wsj_0006_1|The thrift holding company said it expects to obtain regulatory approval and complete the transaction by year-end .
wsj_0918_14|Leading the gains for Du Pont in the latest quarter was its industrial products segment , where profit soared to $155 million from $99 million a year earlier .
wsj_0918_15|The company benefited from continued strong demand and higher selling prices for titanium dioxide , a white pigment used in paints , paper and plastics .
wsj_0918_16|James Fallon , a New Providence , N.J. , marketing consultant to the chemicals industry , says Du Pont still holds an edge in making the pigment because the company was ' first in with the technology ' to lower costs .
wsj_0918_17|He said Du Pont holds about 23% of the world-wide market , the largest single share , at a time when growing uses for the pigment have kept it in tight supply , although others are now adding low-cost production capacity .
wsj_0918_10|A spokesman for Seagram , the Montreal wine and spirits concern controlled by the Bronfman family , said the company will post additional pretax profit of about $33 million a year because of the additional Du Pont dividends .
wsj_0918_11|Du Pont also announced plans for a 3-for-1 stock split , although the initial higher dividend will be paid on pre-split shares .
wsj_0918_12|Du Pont 's stock rose $2.50 a share to close at $117.375 in New York Stock Exchange composite trading yesterday .
wsj_0918_13|Seagram closed at $84.75 , up 12.5 cents a share in Big Board trading .
wsj_0745_17|As Jaguar 's biggest holder and Britain 's biggest car maker , Ford could turn up the heat by convening a special shareholders ' meeting and urging holders to drop the limits early .
NYT19980424.0421_5|The opinion , which found the gender distinction reasonable , relied heavily on outmoded generalities about family roles , including the flawed presumption that mothers have a closer relationship to their children than fathers do .
NYT19980424.0421_6|As Justice Stephen Breyer asked in a strong dissent , ` ` what sense does it make ' ' to apply citizenship barriers ` ` only to fathers and not to mothers in today 's world _ where paternity can readily be proved and where women and men both are likely to earn a living in the workplace ? ' ' Justices Sandra Day O'Connor and Anthony Kennedy seemed to agree that the law amounted to unconstitutional sex discrimination .
NYT19980424.0421_7|Butinstead of providing the votes to strike it down , they chose to uphold it on the flimsy ground that because the sex of the parent and not the child made the difference under the law , the plaintiff did not have standing to bring the case .
wsj_0918_18|Profit climbed to $98 million from $71 million in the petroleum segment , as Du Pont 's Conoco Inc. oil company was helped by crude oil prices higher than a year ago and by higher natural gas prices and volume .
APW19980227.0476_3|The decision , 3rd graf pvs .
APW19980227.0476_0|THE HAGUE , Netherlands ( AP ) _ The World Court Friday rejected U.S. and British objections to a Libyan World Court case that has blocked the trial of two Libyans suspected of blowing up a Pan Am jumbo jet over Scotland in 1988 .
APW19980227.0476_1|Libya , which brought the case to the United Nations ' highest judicial body in its dispute with the United States and Britain , hailed the ruling and said it would press anew for a trial in a third neutral country .
wsj_0187_5|Subcontractors will be offered a settlement and a swift transition to new management is expected to avert an exodus of skilled workers from Waertsilae Marine 's two big shipyards , government officials said .
wsj_0187_2|' The situation is that the bankruptcy court will get out of the shipbuilding business .
wsj_0187_3|Everything will be taken over by the new company , ' said Christian Andersson , executive vice president of Oy Waertsilae , former parent of Waertsilae Marine .
wsj_0187_0|The Finnish government and major creditors of bankrupt shipyard Waertsilae Marine Industries Oy agreed in principle to form a new company to complete most of the troubled shipyard 's backlog of 15 ships .
wsj_0348_0|Ogden Projects Inc. said net income jumped to $6.6 million , or 18 cents a share , in the third quarter .
wsj_0810_9|Mr. Fournier said Navigation Mixte 's 1989 unconsolidated , or parent-company , profit is likely to be 4.7 billion francs ( $754.4 million ) , up from 633.8 million francs last year .
wsj_0810_8|For the moment , the sources said , he has decided against seeking a white knight or organizing a counterbid for Paribas .
wsj_0810_3|At a news conference , Mr. Fournier accused Paribas of planning to pay for the takeover by selling parts of the company , whose interests include insurance , banking , tuna canning , sugar and orange juice .
wsj_0810_2|Financiere de Paribas to bring its stake in Navigation Mixte to 66.7% .
wsj_0810_1|de Navigation Mixte Chairman Marc Fournier said his board unanimously rejected as too low the $1.77 billion bid by Cie .
wsj_0810_0|Cie .
wsj_0810_7|At the same time , he is expected to seek legal and regulatory means of blocking or delaying Paribas 's bid .
wsj_0810_6|But sources said he will be urging his allies to boost their stakes in Navigation Mixte , which is being traded in London and is to resume trading in Paris Tuesday .
wsj_0810_5|Mr. Fournier said that as Navigation Mixte chairman , he is prohibited by takeover regulations from organizing his own defense or doing anything besides managing current company business .
wsj_0810_4|The chairman said his board members , including representatives of West German insurance giant Allianz AG and French banks Credit Lyonnais and Societe Generale , hold nearly 50% of Navigation Mixte 's capital .
wsj_0778_8|Mr. Antar is being investigated by a federal grand jury in Newark , where prosecutors have told him that they may soon seek an indictment on racketeering and securities fraud charges .
wsj_0778_9|Under the Racketeer Influenced and Corrupt Organizations law , or RICO , the government has the authority to seek to freeze or seize a defendant 's assets before trial .
wsj_0292_10|In New York Stock Exchange composite trading , Kimberly-Clark closed at $66.50 a share , up $1.50 .
wsj_0778_2|The issue has come to a boil in Newark , N.J. , where federal prosecutors have warned lawyers for Eddie Antar that if the founder and former chairman of Crazy Eddie Inc. is indicted , the government may move to seize the money that Mr. Antar is using to pay legal fees .
wsj_0778_3|The warning by the U.S. attorney 's office follows two decisions by the U.S. Supreme Court last June .
wsj_0778_0|The government is sharpening its newest weapon against white-collar defendants : the power to prevent them from paying their legal bills .
wsj_0778_1|And defense lawyers are warning that they wo n 't stick around if they do n 't get paid .
wsj_0778_6|A seizure also would make the case the largest -- and one of the first -- in which lawyers ' fees have been confiscated in a prosecution unrelated to drugs .
wsj_0778_7|' The people who suffer in the short run are defendants , but the people who suffer in the long run are all of the people , because there wo n 't be a vigorous private bar to defend the Bill of Rights , ' says Gerald Lefcourt , a criminal defense attorney who says he has turned down a number of cases to avoid possible fee seizures .
wsj_0778_4|In those cases , the high court ruled that federal law gives prosecutors broad authority to seize assets of people accused of racketeering and drug-related crimes , including fees paid to lawyers before an indictment .
wsj_0778_5|If the government succeeds in seizing Mr. Antar 's assets , he could be left without top-flight legal representation , because his attorneys are likely to quit , according to individuals familiar with the case .
APW19980626.0364_7|The extremist party recently took a surprising 13 percent of the vote in elections in a depressed eastern German state , and hopes to win its first seats in the federal parliament this September .
APW19980626.0364_6|Party spokesman Bernd Droese said the People 's Union would challenge the fine in court .
APW19980626.0364_5|The fine is twice the donation , as provided for under German party financing laws .
APW19980626.0364_4|Suessmuth said , however , that the law does not allow for providing a false address for any reason .
APW19980626.0364_3|The anti-foreigner party said it wanted to protect the donor from possible attacks .
APW19980626.0364_2|German law requires parties to publish the name and address of anyone who donates more than 20,000 marks ( dlrs 11,000 ) .
APW19980626.0364_1|Parliamentary president Rita Suessmuth said the People 's Union correctly listed Jacques de Mathan as having donated about 274,500 marks in 1995 , but gave a false address for him .
wsj_0918_9|The largest beneficiary will be Seagram Co. , which owns about 23% of Du Pont .
wsj_0918_6|Sales in the latest quarter were $8.59 billion , up 9.4% from $7.85 billion .
wsj_0918_7|The dividend increase was Du Pont 's second this year , an affirmation of statements by top executives that they intend to increase rewards to shareholders .
wsj_0918_4|The Wilmington , Del. , company reported net of $547 million , or $2.36 a share , which was in line with Wall Street estimates .
wsj_0918_5|In the year-earlier period , the company earned $461 million , or $1.91 a share .
wsj_0918_2|Du Pont , unlike companies hurt badly by sharp price declines for basic chemicals and plastics , is benefiting from its broad range of businesses .
wsj_0918_3|The profit gain was made despite a weakening in the housing market , for which the company is a supplier , and a strengthening in the dollar , which lowers the value of overseas earnings when they are translated into dollars .
wsj_0918_0|Du Pont Co. reported that third-quarter profit grew a robust 19% from a year ago on the strength of the company 's operations in various chemicals and fibers , and in petroleum .
wsj_0918_1|Du Pont also raised its quarterly dividend to $1.20 a share from $1.05 , a change that will increase the annualized payout to shareholders by some $140 million .
APW19980219.0476_7|` ` Obviously , it is deeply discouraging for the family after 22 months , but there is no proof of life .
APW19980219.0476_6|The Foreign Office said it had informed the family of Howes , 37 years old when he was kidnapped , that he probably died within weeks or months of his capture on March 26 , 1996 .
APW19980219.0476_5|In January this year , British police officers who had been searching for Howes concluded he had probably been killed soon after being captured .
APW19980219.0476_4|Howes ' team was clearing mines 17 kilometers ( 10 miles ) from Angkor Wat , the fabled 11th century temple that is Cambodia 's main tourist attraction , when it was attacked .
APW19980219.0476_3|There were many conflicting accounts of his fate .
APW19980219.0476_2|Howes had been working for the Britain-based Mines Advisory Group when he was abducted with his Cambodian interpreter Houn Hourth in March 1996 .
APW19980219.0476_1|Gen. Nhek Bunchhay , a loyalist of ousted Cambodian Prime Minister Prince Norodom Ranariddh , said in an interview with The Associated Press at his hilltop headquarters that he hopes to recover the remains of Christopher Howes within the next two weeks .
APW19980219.0476_0|O'SMACH , Cambodia ( AP ) _ The top commander of a Cambodian resistance force said Thursday he has sent a team to recover the remains of a British mine removal expert kidnapped and presumed killed by Khmer Rouge guerrillas almost two years ago .
wsj_0610_42|The company had a one-time charge of $14.8 million in the latest quarter covering the disposition of certain assets .
wsj_0610_43|The company would n 't elaborate , citing competitive reasons .
wsj_0610_40|Net fell 16% to $123.1 million , or $1.02 a share , from $145.7 million , or $1.18 a share .
wsj_0610_41|Sales rose 4.8% to $1.20 billion from $1.14 billion .
wsj_0584_15|McCaw , the largest provider of cellular telephone service in the U.S. , already owns about 9.4% of LIN 's stock .
wsj_0584_14|The previous BellSouth pact was valued at about $98 to $110 a share .
wsj_0584_17|Over the weekend , McCaw continued to call for an auction of LIN .
wsj_0584_16|In response to BellSouth 's amended pact , the Kirkland , Wash. , company extended its own offer to buy 22 million LIN shares for $125 apiece , which would give McCaw a 50.3% controlling interest .
APW19980322.0749_7|` ` We were unjustly pushed out of the talks in February but we are back , ' ' Adams said Sunday .
APW19980322.0749_6|But Sinn Fein leader Gerry Adams kept his party out pending meetings with British Prime Minister Tony Blair 10 days ago and President Clinton last week .
